unit_id	code	file	in_blocks	out_blocks	in_chars	out_chars	retain_pct	status
P2.EX.134	C	daa2bc8c-775b-4acd-957a-25a47d0dffb4.jsonl	6	6	18593	18593	100.0	done
P2.EX.135	C	dcda3221-6230-4b7b-8a5e-39b1cea3da15.jsonl	2	2	606	606	100.0	done
P2.EX.136	C	ddad560a-9d43-4e35-815a-5982dd328b54.jsonl	712	658	268492	255276	95.1	done
P2.EX.137	C	ddf02e9e-c232-4171-a994-efb286ea70cc.jsonl	143	141	75162	74839	99.6	done
P2.EX.138	C	df1971d7-70c6-401d-b466-6a2872869b05.jsonl	122	121	94111	93866	99.7	done
P2.EX.139	C	e6b0c711-8ee2-4f63-9f44-ffaa08906ea4.jsonl	5	4	10642	10642	100.0	done
P2.EX.140	C	e9666f84-6568-4ce2-99bd-566230aa7c08.jsonl	588	556	226960	219302	96.6	done
P2.EX.141	C	eacc1083-de2d-4219-8988-76fd0e15cf53.jsonl	61	57	47734	46993	98.4	done
P2.EX.142	C	ecb3c78c-8e15-4411-8c16-746282e38107.jsonl	81	80	39259	39014	99.4	done
P2.EX.143	C	f25e5e8a-6f12-4eb1-892c-6e5e1e537bac.jsonl	146	141	48227	47573	98.6	done
P2.EX.144	C	f6166956-ab00-4854-9bd2-04a8fba7d460.jsonl	131	128	54405	53734	98.8	done
P2.EX.145	C	f771598e-344e-46b7-9a24-9c4007c4bc8b.jsonl	3	3	425	425	100.0	done
P2.EX.146	C	f7a5972f-2e19-45d3-815e-fefc4479cdcc.jsonl	357	345	182045	179959	98.9	done
P2.EX.147	C	fa5f14a2-134a-4e64-96f5-f948db323bf5.jsonl	406	397	133427	132784	99.5	done
P2.EX.148	C	fab52053-5503-4f89-9a49-492c427ac5d5.jsonl	886	826	401706	389929	97.1	done
P2.EX.149	C	fbd2d649-4a0f-4ae4-bef7-763240b21b68.jsonl	5	4	633	388	61.3	done
P2.EX.150	C	fdd2f418-754e-453f-b91e-dd6452f6bfbf.jsonl	1300	1218	601005	585426	97.4	done
P2.EX.151	D	2eb2e01a-9610-4648-ad4f-4bfb4c638245.jsonl	478	464	163787	161474	98.6	done
P2.EX.152	D	dc3068cc-e82a-4659-8bb1-e1b8b28d6d06.jsonl	1308	1273	475774	468593	98.5	done
P2.EX.153	D	f2bb643e-8e9c-413c-82cc-47ab1fc85bed.jsonl	112	103	41166	38859	94.4	done
P2.EX.154	E	2a1bff76-a67f-4234-82e4-949db29ae909.jsonl	2	2	375	375	100.0	done
P2.EX.155	E	3f6667af-a71b-4366-b18a-270be4cace52.jsonl	15	13	4915012	4914522	100.0	done
P2.EX.156	E	5b5cf62a-1156-47f4-b5eb-79f73cfc4dbb.jsonl	3031	2776	3509116	3442803	98.1	done
P2.EX.157	E	7e4a532c-5a97-4838-9d91-c708ec7d8295.jsonl	1711	1607	595493	568916	95.5	done
P2.EX.158	E	995f2623-118b-4513-8486-fd900427a044.jsonl	2	2	375	375	100.0	done
P2.EX.159	E	b75f9651-6f88-4b95-9910-7391ab36415c.jsonl	10	9	1151138	1150893	100.0	done
P2.EX.160	F	e1700ad7-cf7a-4838-a9b3-1ac9d8ec65d1.jsonl	793	714	552624	533875	96.6	done
